,GenderID,DeptID,PerfScoreID,Salary,PositionID,Position,State,Zip,DOB,Sex,CitizenDesc,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,Age,LPRD_years
0,1,5,4,62506,19,Production Technician I,MA,1960,7/10/1983,M ,US Citizen,Production       ,LinkedIn,Exceeds,4.6,5,0,1/17/2019,0,1,40,4
1,1,3,3,104437,27,Sr. DBA,MA,2148,5/5/1975,M ,US Citizen,IT/IS,Indeed,Fully Meets,4.96,3,6,2/24/2016,0,17,48,7
2,0,5,3,64955,20,Production Technician II,MA,1810,9/19/1988,F,US Citizen,Production       ,LinkedIn,Fully Meets,3.02,3,0,5/15/2012,0,3,35,11
3,0,5,3,64991,19,Production Technician I,MA,1886,9/27/1988,F,US Citizen,Production       ,Indeed,Fully Meets,4.84,5,0,1/3/2019,0,15,34,4
4,0,5,3,50825,19,Production Technician I,MA,2169,9/8/1989,F,US Citizen,Production       ,Google Search,Fully Meets,5,4,0,2/1/2016,0,2,34,7
5,0,5,4,57568,19,Production Technician I,MA,1844,5/22/1977,F,US Citizen,Production       ,LinkedIn,Exceeds,5,5,0,1/7/2019,0,15,46,4
6,0,4,3,95660,24,Software Engineer,MA,2110,5/24/1979,F,US Citizen,Software Engineering,LinkedIn,Fully Meets,3.04,3,4,1/2/2019,0,19,44,4
7,1,5,3,59365,19,Production Technician I,MA,2199,2/18/1983,M ,US Citizen,Production       ,Employee Referral,Fully Meets,5,4,0,2/25/2019,0,19,40,4
8,0,5,3,47837,19,Production Technician I,MA,1902,2/11/1970,F,US Citizen,Production       ,Diversity Job Fair,Fully Meets,4.46,3,0,1/25/2019,0,4,53,4
9,1,3,3,50178,14,IT Support,MA,1886,1/7/1988,M ,US Citizen,IT/IS,Indeed,Fully Meets,5,5,6,2/18/2019,0,16,35,4
10,0,5,3,54670,19,Production Technician I,MA,1902,1/12/1974,F,US Citizen,Production       ,Diversity Job Fair,Fully Meets,4.2,4,0,1/30/2016,0,12,49,7
11,1,5,3,47211,19,Production Technician I,MA,2062,2/21/1974,M ,US Citizen,Production       ,Diversity Job Fair,Fully Meets,4.2,3,0,5/6/2016,0,15,49,7
12,1,3,4,92328,9,Data Analyst,TX,78230,7/4/1988,M ,US Citizen,IT/IS,Diversity Job Fair,Exceeds,4.28,4,5,2/25/2019,0,9,35,4
13,1,5,3,58709,19,Production Technician I,MA,1810,7/20/1983,M ,US Citizen,Production       ,Google Search,Fully Meets,4.6,4,0,2/14/2019,0,7,40,4
14,1,5,3,52505,19,Production Technician I,MA,2747,7/15/1977,M ,US Citizen,Production       ,On-line Web application,Fully Meets,5,5,0,3/2/2017,0,1,46,6
15,1,5,3,57834,19,Production Technician I,MA,2050,10/18/1981,M ,US Citizen,Production       ,Google Search,Fully Meets,5,4,0,4/5/2017,0,20,41,6
16,0,5,4,70131,20,Production Technician II,MA,2145,4/17/1966,F,US Citizen,Production       ,Employee Referral,Exceeds,4.4,3,0,1/14/2019,0,16,57,4
17,0,5,3,59026,19,Production Technician I,MA,1915,10/27/1970,F,Eligible NonCitizen,Production       ,Google Search,Fully Meets,5,5,0,1/14/2019,0,12,52,4
18,0,3,3,110000,8,Database Administrator,MA,2026,4/4/1986,F,US Citizen,IT/IS,Google Search,Fully Meets,4.5,4,5,1/15/2015,0,8,37,8
19,1,5,3,53250,19,Production Technician I,MA,2452,4/6/1979,M ,US Citizen,Production       ,LinkedIn,Fully Meets,4.2,4,0,1/11/2019,0,13,44,4
20,1,5,3,51044,19,Production Technician I,MA,2072,12/22/1970,M ,US Citizen,Production       ,Google Search,Fully Meets,5,3,0,1/14/2019,0,13,52,4
21,0,5,3,64919,19,Production Technician I,MA,2027,12/27/1958,F,US Citizen,Production       ,Indeed,Fully Meets,4.2,3,0,1/10/2019,0,2,64,4
22,0,5,4,62910,19,Production Technician I,MA,2031,9/1/1989,F,US Citizen,Production       ,Indeed,Exceeds,5,3,0,2/27/2019,0,19,34,4
23,0,5,2,66441,20,Production Technician II,MA,2171,9/21/1990,F,US Citizen,Production       ,CareerBuilder,Needs Improvement,2,3,0,2/27/2019,2,3,32,4
24,0,5,3,57815,20,Production Technician II,MA,2210,1/16/1967,F,US Citizen,Production       ,Google Search,Fully Meets,4.8,5,0,3/4/2014,0,5,56,9
25,1,3,3,103613,30,Enterprise Architect,CT,6033,7/30/1964,M ,US Citizen,IT/IS,LinkedIn,Fully Meets,3.5,5,7,1/10/2016,0,2,59,7
26,0,1,3,106367,26,Sr. Accountant,MA,2468,4/4/1987,F,US Citizen,Admin Offices,Diversity Job Fair,Fully Meets,5,4,3,2/18/2019,0,4,36,4
27,1,5,3,74312,18,Production Manager,MA,1901,3/10/1970,M ,US Citizen,Production       ,Indeed,Fully Meets,3.39,3,0,2/20/2014,0,14,53,9
28,0,5,3,53492,19,Production Technician I,MA,1701,8/24/1990,F,US Citizen,Production       ,Google Search,Fully Meets,3.35,4,0,3/4/2013,0,6,33,10
29,0,1,3,63000,1,Accountant I,MA,1450,11/24/1987,F,US Citizen,Admin Offices,Diversity Job Fair,Fully Meets,4.5,2,6,1/15/2019,0,14,35,4
30,1,5,3,65288,20,Production Technician II,MA,1013,7/28/1983,M ,US Citizen,Production       ,Google Search,Fully Meets,3.19,3,0,2/1/2019,0,9,40,4
31,0,5,3,64375,19,Production Technician I,MA,2043,10/30/1969,F,US Citizen,Production       ,Diversity Job Fair,Fully Meets,3.5,5,0,1/21/2019,0,17,53,4
32,0,6,3,74326,3,Area Sales Manager,VA,21851,6/1/1964,F,Eligible NonCitizen,Sales,Google Search,Fully Meets,3.14,5,0,2/10/2013,1,19,59,10
33,0,5,3,63763,20,Production Technician II,MA,2148,3/2/1980,F,US Citizen,Production       ,Employee Referral,Fully Meets,4.51,4,0,2/21/2019,0,3,43,4
34,1,5,3,62162,20,Production Technician II,MA,1890,8/19/1977,M ,US Citizen,Production       ,Indeed,Fully Meets,3.25,5,0,1/14/2019,0,15,46,4
35,1,4,3,77692,25,Software Engineering Manager,MA,2184,11/22/1966,M ,US Citizen,Software Engineering,Google Search,Fully Meets,3.84,3,5,1/21/2019,0,4,56,4
